PDB;Smiles;Paffinity;ProteinName;LigandName
1g50;c1cc(O)cc(CC2)c1[C@@H](CC3)[C@@H]2[C@@H]([C@]34C)CC[C@@H]4O;6.2800002;ESTROGEN RECEPTOR;EST
2p7a;Clc1ccc(O)cc1C;6.1034741;Estrogen-related receptor gamma;43M
2p7g;Oc1ccc(cc1)C(C)(C)c2ccc(O)cc2;6.5272441;Estrogen-related receptor gamma;2OH
2p7z;c1ccccc1C(\CC)=C(\c2ccc(O)cc2)c3ccc(cc3)OCC[NH+](C)C;6.5816989;Estrogen-related receptor gamma;OHT
2j7x;c1cc(O)cc(CC2)c1[C@@H](CC3)[C@@H]2[C@@H]([C@]34C)CC[C@@H]4O;8.7700005;ESTROGEN RECEPTOR BETA;EST
1uom;C1CCCC[NH+]1CCOc2ccc(cc2)[C@H](c(c34)ccc(c4)O)N(CC3)c5ccccc5;7.7199998;ESTROGEN RECEPTOR;PTI
1g3m;Clc(c1)c(O)c(Cl)cc1-c2cc(Cl)c(O)c(Cl)c2;10;ESTROGEN SULFOTRANSFERASE;PCQ
2q70;c1cc(O)cc(c12)[C@H]3[C@H](CC(F)(F)C3)[C@@H](O2)c(cc4)ccc4O;8.0799999;Estrogen receptor;DC8
1sj0;c1cc(O)cc(c12)S[C@H](c3ccc(O)cc3)[C@@H](O2)c4ccc(cc4)OCC[NH+]5CCCCC5;9.1000004;Estrogen receptor;E4D
2nv7;c1cccc(c12)c(/C=N/O)ccc2-c3ccc(O)cc3;8.3000002;Estrogen receptor beta;555
2giu;CCCC[C@]12C(=C(Br)C(=O)CC1)c3c(C2)cc(O)cc3;8.8199997;Estrogen receptor beta;FBR
1vjb;c1ccccc1C(\CC)=C(\c2ccc(O)cc2)c3ccc(cc3)OCC[NH+](C)C;7.8899999;Estrogen-related receptor gamma;OHT
2i0g;c1c(O)ccc(c1[C@@H]23)O[C@H]([C@H]2CCC3)c4ccc(O)cc4;9.7200003;Estrogen receptor beta;I0G
2qe4;COCc1cc(O)cc(c12)[C@H]3[C@H](CCC3)[C@@H](O2)c4ccc(O)cc4;7.96;Estrogen receptor;JJ3
2gpp;CC(C)c1ccc(cc1)\C=N\NC(=O)c2ccc(O)cc2;5.6999998;Estrogen-related receptor gamma;1BA
2ewp;c1ccccc1\C(CCCO)=C(\c(cc2)ccc2O)c3ccc(cc3)OCC[NH+](C)C;7.0999999;Estrogen-related receptor gamma;TXF
2i0j;c1c(O)ccc(c1[C@@H]23)O[C@H]([C@H]2CCC3)c4ccc(O)cc4;8.5699997;Estrogen receptor alpha;I0G
2qa8;Oc1cc(O)cc(c12)occ(c2=O)-c3ccc(O)cc3;6;Estrogen receptor;GEN
2b1z;C[C@@]1(O)CC[C@H]([C@@]12C)c3c(CC2)c4c(cc3)cc(O)cc4;7.1023731;Estrogen receptor;17M
1yye;Oc1c(F)cc(cc1)-c(c2)cc(C#N)c(c23)cc(O)cc3;8.5699997;Estrogen receptor beta;196
1yy4;Clc1c(O)ccc(c12)cc(cc2)-c3ccc(O)cc3;8.6000004;Estrogen receptor beta;4NA
2fai;OC[C@@]12[C@H](C)[C@@H](C(C)=CC1)[C@H](OC2)c3ccc(O)cc3;6.2399998;Estrogen receptor;459
2b1v;OC[C@@]12C[C@@H](C(C)=CC1)[C@H](OC2)c3ccc(O)cc3;5.7399998;Estrogen receptor;458
5ak2;Cc1cc(F)ccc1-c(c(=O)oc(c23)cc(O)cc3)c2Cc4ccc(cc4)/C=C/C(=O)[O-];8.4099998;ESTROGEN RECEPTOR;85Z
5fqr;c1c(O)ccc(c12)[C@H]([N@@H+](CC2)CC(C)C)c3ccc(cc3)/C=C/C(=O)[O-];7.5900002;ESTROGEN RECEPTOR;QHG
5fqs;c1c(O)ccc(c12)[C@](C)([N@@H+](CC2)CC(C)C)c3ccc(cc3)/C=C/C(=O)[O-];7.3600001;ESTROGEN RECEPTOR;J0W
5fqp;c1c(O)ccc(c12)[C@H]([N@@H+]([C@H](C)C2)CC(C)C)c3ccc(cc3)/C=C/C(=O)[O-];7.7199998;ESTROGEN RECEPTOR ALPHA;GQD
