PDB;Smiles;Paffinity;ProteinName;LigandName
4yo8;CCCCCC[N@H+](CO)Cc1c[nH]c(c12)c(N)ncn2;10.52;Aminodeoxyfutalosine nucleosidase;4EZ
3ed0;Oc(c1)cc(O)c(c12)C(=O)c3c(C2=O)cc(C)cc3O;6.3467875;(3R)-hydroxymyristoyl-acyl carrier protein dehydratase;EMO
3b7j;O=C1C=CC(=O)c(c12)cccc2O;5.167491;(3R)-hydroxymyristoyl-acyl carrier protein dehydratase;JUG
5hfj;O=C([O-])[C@@H]([NH3+])CC[S@H](C)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n(cn2)c(c23)ncnc3N;4.3899999;Adenine specific DNA methyltransferase (DpnA);SAM
4y4v;[NH3+][C@H](C)C(=O)[O-];3.6500001;Conserved hypothetical secreted protein;DAL
3n2e;c1cc(N)cc(c12)cc(S([O-])([O-])O)c(c2O)/N=N/c(cc3)cc(c34)cc(S([O-])(O)O)cc4O;4.96;Shikimate kinase;OSA
3juk;c1cc(=O)[nH]c(=O)n1[C@H]2[C@H](O)[C@H](O)[C@H](O2)COP([O-])(O)OP([O-])(O)O[C@@H]3[C@H](O)[C@@H](O)[C@H](O)[C@H](O3)CO;4.8899999;UDP-glucose pyrophosphorylase (GalU);UPG
4ygf;NS(=O)(=O)c1nnc(s1)NC(=O)C;7.6799998;Alpha-carbonic anhydrase;AZM
3mle;OP([O-])(O)OP([O-])(O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n(cn2)c(c23)ncnc3N;5.2399998;Dethiobiotin synthetase;ADP
4lps;OP([O-])(O)OP([O-])(O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n(cn2)c(c23)[nH]c(=[NH2+])[nH]c3=O;5.7399998;Hydrogenase/urease nickel incorporation protein HypB;GDP
2wks;c1c(C)ccc(c12)sc(c2)COC(=C[C@]3(C(=O)[O-])O)[C@@H](O)[C@@H](C3)O;6.8860564;3-DEHYDROQUINATE DEHYDRATASE;CB6
4wkp;OCCOCCSCC[C@@H]1[C@@H](O)C[N@@H+](C1)Cc(c[nH]2)c(c23)ncnc3N;9.5500002;Aminodeoxyfutalosine nucleosidase;3QA
4wkn;n1cnc(N)c(c12)[nH]cc2C[N@@H+](C[C@@H]3O)C[C@@H]3CSC;9.7200003;Aminodeoxyfutalosine nucleosidase;TDI
