PDB;Smiles;Paffinity;ProteinName;LigandName
2qwb;O=C([O-])[C@@]1(O)C[C@H](O)[C@@H](NC(=O)C)[C@@H](O1)[C@H](O)[C@H](O)CO;2.74;NEURAMINIDASE;SIA
2qwc;O=C([O-])C1=C[C@H](O)[C@@H](NC(=O)C)[C@@H](O1)[C@H](O)[C@H](O)CO;3.55;NEURAMINIDASE;DAN
2qwf;O=C([O-])C1=C[C@H](NC(=[NH2+])N)[C@@H](NC(=O)C)[C@@H](O1)C(=O)N(C)CCC;5.6700001;NEURAMINIDASE;G20
2qwg;O=C([O-])C1=C[C@H]([NH3+])[C@@H](NC(=O)C)[C@@H](O1)C(=O)N(CC)CC;3.6400001;NEURAMINIDASE;G28
2qwd;O=C([O-])C1=C[C@H]([NH3+])[C@@H](NC(=O)C)[C@@H](O1)[C@H](O)[C@H](O)CO;4.8499999;NEURAMINIDASE;4AM
2qwe;O=C([O-])C1=C[C@H]([NH+]=C(N)N)[C@@H](NC(=O)C)[C@@H](O1)[C@H](O)[C@H](O)CO;7.48;NEURAMINIDASE;GNA
5efc;OP([O-])(O)OP([O-])(O)OP([O-])(O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n(cn2)c(c23)[nH]c(=[NH2+])[nH]c3=O;4.8499999;Polymerase basic protein 2;GTP
4m3m;O=C([O-])C1=C[C@H]([NH3+])[C@H](NC(=O)C)[C@@H](C1)OC(CC)CC;9.0500002;Neuraminidase;22N
1a4g;O=C([O-])C1=C[C@H](NC(=[NH2+])N)[C@@H](NC(=O)C)[C@@H](O1)[C@H](O)[C@H](O)CO;8.3999996;NEURAMINIDASE;ZMR
1a4q;O=C([O-])C1=C[C@H]([NH3+])[C@@H](NC(=O)C)[C@@H](O1)C(=O)N(CCC)CCc2ccccc2;5.4400001;NEURAMINIDASE;DPC
4hzw;O=C([O-])C1=C[C@H]([NH+]=C(N)N)[C@@H](NC(=O)C)[C@@H](O1)[C@H](OC)[C@H](O)CO;8.8800001;Neuraminidase;LNV
4hzz;O=C([O-])c1cc(N)c(NC(=O)C)c(c1)OC(CC)CC;8.0799999;Neuraminidase;G39
4hzx;O=C([O-])[C@H]1C[C@H]([NH3+])[C@@H](NC(=O)C)[C@@H](C1)OC(CC)CC;9.3000002;Neuraminidase;G39
3k39;NC(N)=[NH+][C@H]1[C@@H]([C@H](O)[C@@H](C(=O)[O-])C1)[C@H](C(CC)CC)NC(=O)C;8.0799999;Neuraminidase;BCZ
3k37;NC(N)=[NH+][C@H]1[C@@H]([C@H](O)[C@@H](C(=O)[O-])C1)[C@H](C(CC)CC)NC(=O)C;8.9200001;Neuraminidase;BCZ
3k3a;O=C([O-])C1=C[C@H]([C@@H]([C@H](C1)[NH3+])NC(=O)C)OC(CC)CC;7.0799999;Neuraminidase;G39
4ks5;CC(C)(O)c1cn(nn1)[C@@H]2[C@@H](NC(=O)C)[C@@H](CC(=C2)C(=O)[O-])OC(CC)CC;6.8899999;Neuraminidase;1SO
4ks3;CCC(CC)O[C@H]1[C@H](NC(=O)C)[C@H](C=C(C1)C(=O)[O-])n2cc(nn2)CCCO;6.3699999;Neuraminidase;1SL
5cgv;Clc1ccc(cc1)C[C@]2(C(=O)/C=C(\O)C(=O)[O-])CC[N@@H+](CC2)Cc3ccccc3;6.4699998;Polymerase acidic protein;0N8
