5diq;Farnesyl pyrophosphate synthase
4iwd;Hepatocyte growth factor receptor
4ekg;Histone-lysine N-methyltransferase, H3 lysine-79 specific
4lww;Nicotinamide phosphoribosyltransferase
4ek9;Histone-lysine N-methyltransferase, H3 lysine-79 specific
10gs;GLUTATHIONE S-TRANSFERASE P1-1
5i9y;Ephrin type-A receptor 2
5i9x;Ephrin type-A receptor 2
1hvy;THYMIDYLATE SYNTHASE
5ety;Tankyrase-1
1v2h;Purine nucleoside phosphorylase
3smq;Protein arginine N-methyltransferase 3
1pf7;PURINE NUCLEOSIDE PHOSPHORYLASE
5ccl;Histone-lysine N-methyltransferase SMYD3
3krl;Macrophage colony-stimulating factor 1 receptor, Basic fibroblast growth factor receptor 1
2f89;Farnesyl Diphosphate Synthase
4eki;Histone-lysine N-methyltransferase, H3 lysine-79 specific
4pns;Tankyrase-2
4pnq;Tankyrase-2
4pnl;Tankyrase-2
3s7b;N-lysine methyltransferase SMYD2
2wk6;THYMIDINE PHOSPHORYLASE
3asx;Squalene synthase
3faa;TGF-beta receptor type-1
1ld8;protein farnesyltransferase alpha subunit
1ld7;protein farnesyltransferase alpha subunit
3qti;Hepatocyte growth factor receptor
5eds;Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform
4hlg;Tankyrase-2
5drt;Histone-lysine N-methyltransferase, H3 lysine-79 specific
4gz3;UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit
3n45;FARNESYL PYROPHOSPHATE SYNTHASE
3n49;FARNESYL PYROPHOSPHATE SYNTHASE
3kjd;Poly [ADP-ribose] polymerase 2
4jvj;Farnesyl pyrophosphate synthase
4o28;Nicotinamide phosphoribosyltransferase
1pl0;Bifunctional purine biosynthesis protein PURH
3r7o;Hepatocyte growth factor receptor
3qvv;Sulfotransferase 1A1
3qvu;Sulfotransferase 1A1
3ie3;Glutathione S-transferase P
4o15;Nicotinamide phosphoribosyltransferase
4waf;Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform
4ui3;TANKYRASE-2
4ui6;TANKYRASE-2
4ui7;TANKYRASE-2
4ui4;TANKYRASE-2
4ui5;TANKYRASE-2
3l3m;Poly [ADP-ribose] polymerase 1
3ua9;Tankyrase-2
4hvs;Mast/stem cell growth factor receptor Kit
3n6k;FARNESYL PYROPHOSPHATE SYNTHASE
3mv5;v-akt murine thymoma viral oncogene homolog 1 (AKT1)
3mvh;v-akt murine thymoma viral oncogene homolog 1 (AKT1)
4uuh;TANKYRASE-1
1mzc;Protein Farnesyltransferase alpha Subunit
2wot;TGF-BETA RECEPTOR TYPE-1
2wou;TGF-BETA RECEPTOR TYPE-1
5adt;TANKYRASE-2
5adr;TANKYRASE-2
5ads;TANKYRASE-2
5adq;TANKYRASE-2
3ce0;Poly [ADP-ribose] polymerase 3
4j22;Tankyrase-2
3kqs;Phenylethanolamine N-methyltransferase
3kqt;Phenylethanolamine N-methyltransferase
3kqw;Phenylethanolamine N-methyltransferase
4tk5;Tankyrase-2
2q7o;Purine nucleoside phosphorylase
3kqo;Phenylethanolamine N-methyltransferase
4y64;Histo-blood group ABO system transferase
4y63;Histo-blood group ABO system transferase
5ccm;Histone-lysine N-methyltransferase SMYD3
3dkj;Nicotinamide phosphoribosyltransferase
4l2g;Tankyrase-2
4zzx;POLY [ADP-RIBOSE] POLYMERASE 2
4zzz;POLY [ADP-RIBOSE] POLYMERASE 1
5ayf;Histone-lysine N-methyltransferase SETD7
4zz1;Trifunctional purine biosynthetic protein adenosine-3
4zz2;Trifunctional purine biosynthetic protein adenosine-3
4zz3;Trifunctional purine biosynthetic protein adenosine-3
5ayy;Nicotinate-nucleotide pyrophosphorylase [carboxylating]
4l2k;Tankyrase-2
3ggc;Hypoxanthine-guanine phosphoribosyltransferase
3ggj;Hypoxanthine-guanine phosphoribosyltransferase
2on6;Purine nucleoside phosphorylase
2onz;Phenylethanolamine N-methyltransferase
2ony;Phenylethanolamine N-methyltransferase
4lil;DNA primase small subunit
4msk;Tankyrase-1
4li8;Tankyrase-1
4li6;Tankyrase-1
1lbk;Glutathione S-transferase class pi chimaera (CODA)
3ii5;B-Raf proto-oncogene serine/threonine-protein kinase
4pmt;High affinity nerve growth factor receptor
4pms;High affinity nerve growth factor receptor
4pmp;High affinity nerve growth factor receptor
4pmm;High affinity nerve growth factor receptor
5bvo;Epithelial discoidin domain-containing receptor 1
5bvn;Epithelial discoidin domain-containing receptor 1
5bvk;Epithelial discoidin domain-containing receptor 1
5bvw;Epithelial discoidin domain-containing receptor 1
4xmo;Hepatocyte growth factor receptor
3qfv;CDC42BPB protein
5lt6;Histone-lysine N-methyltransferase SETD2
3vhe;Vascular endothelial growth factor receptor 2
4hra;Histone-lysine N-methyltransferase, H3 lysine-79 specific
4rxa;Farnesyl pyrophosphate synthase
3pb9;Glutaminyl-peptide cyclotransferase-like protein
3pb8;Glutaminyl-peptide cyclotransferase-like protein
4ear;Purine nucleoside phosphorylase
3gep;Hypoxanthine-guanine phosphoribosyltransferase
4fmu;Histone-lysine N-methyltransferase SETD2
3g0f;Mast/stem cell growth factor receptor
3kqp;Phenylethanolamine N-methyltransferase
3kqy;Phenylethanolamine N-methyltransferase
4tk0;Tankyrase-2
3kqm;Phenylethanolamine N-methyltransferase
2j9h;GLUTATHIONE S-TRANSFERASE P
4tkg;Tankyrase-2
4tkf;Tankyrase-2
3bea;Macrophage colony-stimulating factor 1 receptor
4gb9;Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform
1rr6;Purine nucleoside phosphorylase
1ydk;Glutathione S-transferase A1
4o0z;Nicotinamide phosphoribosyltransferase
1vjy;TGF-beta receptor type I
4hlf;Tankyrase-2
4hlm;Tankyrase-2
4hlh;Tankyrase-2
4hlk;Tankyrase-2
4lpg;Farnesyl pyrophosphate synthase
4lph;Farnesyl pyrophosphate synthase
3q6z;Poly [ADP-ribose] polymerase 14
3q6w;Hepatocyte growth factor receptor
5a4c;FIBROBLAST GROWTH FACTOR RECEPTOR 1 (FMS-RELATED TYROSINE KINASE 2, PFEIFFER SYNDROME), ISOFORM CRA_B
2obf;Phenylethanolamine N-methyltransferase
3rhk;Hepatocyte growth factor receptor
1wok;Poly [ADP-ribose] polymerase-1
4hl5;Tankyrase-2
3eqr;Activated CDC42 kinase 1
3bgs;purine nucleoside phosphorylase
4iue;Tankyrase-2
5brn;Hypoxanthine-guanine phosphoribosyltransferase
4gdy;Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial
3ocp;PRKG1 protein
1l5s;Glycogen phosphorylase, liver form
4y62;Histo-blood group ABO system transferase
4avw;TANKYRASE-2
4avu;TANKYRASE-2
3n5h;FARNESYL PYROPHOSPHATE SYNTHASE
4ibm;Insulin receptor
5kit;Nicotinamide phosphoribosyltransferase
4eev;Hepatocyte growth factor receptor
1rw8;TGF-beta receptor type I
1uou;THYMIDINE PHOSPHORYLASE
2y1w;HISTONE-ARGININE METHYLTRANSFERASE CARM1
3rjw;Histone-lysine N-methyltransferase EHMT2
