PDB;Smiles;Paffinity;ProteinName;LigandName
5j9f;O=c1[nH]c(N)[nH+]c(c12)[nH]c(c2)CCNc3ccc(cc3)C(=O)N[C@H](C(=O)[O-])CCC(=O)[O-];7.23;Trifunctional purine biosynthetic protein adenosine-3;83A
4ogv;Clc1cc(ccc1)[C@H]2O[C@@H](CC(=O)[O-])C(=O)N([C@@H](CC)CS(=O)(=O)C(C)(C)C)[C@@H]2c3ccc(Cl)cc3;8.0500002;E3 ubiquitin-protein ligase Mdm2;2U7
4ogt;CC(C)(C)S(=O)(=O)C[C@H](C1CC1)N(C2=O)[C@H](c3ccc(Cl)cc3)[C@@H](c(cc4Cl)ccc4)O[C@]2(C)Cc5ccc(C(=O)[O-])cn5;10;E3 ubiquitin-protein ligase Mdm2;2U6
4ogn;CC(C)(C)S(=O)(=O)C[C@H](C1CC1)N(C2=O)[C@H](c3ccc(Cl)cc3)[C@@H](c(cc4Cl)ccc4)C[C@]2(C)Cc5ccc(C(=O)[O-])cn5;10;E3 ubiquitin-protein ligase Mdm2;2U5
4mdn;c1c(Cl)ccc(c12)c(c(C(=O)[O-])[nH]2)[C@]3(C(=O)NC(C)(C)C)N(C4=O)[C@]34c5ccc(cc5)OCc6ccc(Cl)cc6;6.2199998;E3 ubiquitin-protein ligase Mdm2;Y30
4mdq;c1ccccc1CNC(=O)[C@H]([NH2+][C@@H](CC(C)C)C(=O)NO)c2c(C(=O)NO)[nH]c(c23)cc(Cl)cc3;5.9200001;E3 ubiquitin-protein ligase Mdm2;28W
4jv9;Clc1ccc(cc1)[C@H]2N(C)C(=O)[C@H](Cc3ccccc3)O[C@H]2c4ccc(Cl)cc4;5.7399998;E3 ubiquitin-protein ligase Mdm2;1MO
4jve;Clc1ccc(cc1)[C@H]2N([C@@H](C(=O)[O-])CCC)C(=O)[C@H](Cc3ccc(F)cc3)O[C@H]2c4ccc(Cl)cc4;7.0700002;E3 ubiquitin-protein ligase Mdm2;1MQ
5f6v;Oc1ccccc1-c2c(O)cccc2;2.24;SUMO-conjugating enzyme UBC9;5VL
5f6d;c1cccc(NS2(=O)=O)c1c(c23)cccc3;2.52;SUMO-conjugating enzyme UBC9;5VJ
4zfi;c1cc(Cl)ccc1C[C@]2(O)C(=C(C(=O)N2C)Cc3ccc(Cl)cc3)c4c[nH]c(c45)cc(Cl)cc5;6.3000002;E3 ubiquitin-protein ligase Mdm2;4NJ
5laz;O=C([O-])c1ccc(cc1)[C@H]([NH2+]2)C[C@H]([N@H+]3CC4CC4)[C@@H]2[C@H](c(c5F)cccc5Cl)[C@@]36c7c(NC6=O)cc(Cl)cc7;8.3999996;E3 ubiquitin-protein ligase Mdm2;6ST
3cm2;CC[C@H]([NH3+])C(=O)N[C@H](C1=O)[C@@H](C[NH3+])CC[C@H](N12)CC[C@H]2C(=O)NC(c3ccccc3)c4ccccc4;6.4685211;Baculoviral IAP repeat-containing protein 4;X23
5c0k;CC(C)[C@@H](C(=O)N)NC(=O)[C@H](C)[NH3+];2.9200001;E3 ubiquitin-protein ligase XIAP;4WK
